Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,5/31/2018,0.218973364,0.224155291,0.224991291,0.216745713,0,0,-0.65960871
ADA,Cardano,6/1/2018,0.219179557,0.223206996,0.227987834,0.213887003,0.000206193,0.000940749,-0.659199955
ADA,Cardano,6/2/2018,0.227665132,0.220316919,0.228961934,0.216588095,0.008485575,0.037272177,-0.642703479
ADA,Cardano,6/3/2018,0.226597181,0.226565203,0.236649961,0.222871825,-0.001067951,-0.004712993,-0.644745497
ADA,Cardano,6/4/2018,0.213312724,0.22640947,0.230272469,0.209228365,-0.013284457,-0.062276909,-0.670983238
ADA,Cardano,6/5/2018,0.218860107,0.213312871,0.221060239,0.202165239,0.005547383,0.025346707,-0.659833393
ADA,Cardano,6/6/2018,0.214669717,0.218022286,0.219497973,0.208366004,-0.00419039,-0.019520173,-0.668229216
ADA,Cardano,6/7/2018,0.209952288,0.214669717,0.2184372,0.2079938,-0.004717429,-0.022469053,-0.677879388
ADA,Cardano,6/8/2018,0.204625121,0.209952288,0.210336534,0.200951312,-0.005327167,-0.026033788,-0.689041051
ADA,Cardano,6/9/2018,0.20086868,0.204625121,0.209194498,0.2003575,-0.003756441,-0.018700979,-0.697087774
ADA,Cardano,6/10/2018,0.173523045,0.20086868,0.20086868,0.168562845,-0.027345635,-0.157590797,-0.76064284
ADA,Cardano,6/11/2018,0.175948851,0.166204051,0.176479239,0.165736929,0.002425806,0.013786995,-0.754613565
ADA,Cardano,6/12/2018,0.160566314,0.178928812,0.180668844,0.160564997,-0.015382537,-0.095801769,-0.794345562
ADA,Cardano,6/13/2018,0.158003651,0.160620229,0.165768387,0.145415052,-0.002562663,-0.016219011,-0.801332878
ADA,Cardano,6/14/2018,0.169465295,0.157872924,0.17521509,0.152812667,0.011461644,0.067634167,-0.770919228
ADA,Cardano,6/15/2018,0.161092036,0.170723965,0.171070016,0.160645086,-0.008373259,-0.051978106,-0.79292593
ADA,Cardano,6/16/2018,0.163197973,0.161092059,0.164227092,0.15775501,0.002105937,0.012904186,-0.78728524
ADA,Cardano,6/17/2018,0.161768994,0.162008598,0.164123611,0.160030714,-0.001428979,-0.008833454,-0.791104715
ADA,Cardano,6/18/2018,0.165028944,0.160508059,0.167937644,0.155588132,0.00325995,0.019753808,-0.782439879
ADA,Cardano,6/19/2018,0.16537638,0.163754323,0.171301954,0.161208181,0.000347436,0.00210088,-0.781526519
ADA,Cardano,6/20/2018,0.161255126,0.166805498,0.16703931,0.157152532,-0.004121254,-0.025557352,-0.792486471
